1aːbmt,/Abend
ts2uːʁ1ʏk,z/ur/ück
tsv1aɛt0e,zw/eit/e
v1as0ɐ,W/ass/er
v1eːn0ɪç,w/en/ig
v1ɛːʁ0ent,w/ähr/end
v1ɛʁktsɔœ2k,W/erkz/eug
v1ɛʁm0e,W/ärm/e
v1ɪnt0ɐ,W/int/er
v1oːn2ʊŋ,W/ohn/ung
v1ɔlk0e,W/olk/e
v1ɔx0e,W/och/e
v1ʊnd0ɐ,W/under/
v1ʊst0e,w/usst/e
v2aʁ1ʊm,w/ar/um
v1eː0ɐt,W/er/t
v1iː0ɐ,w/ir/
v0ok1aːl,V/ok/al
z1aːm0en,S/am/en
z1ax0e,S/ach/e
z1ɪç0ɐ,s/ich/er
z1ɪlb0ɐ,S/ilb/er
z1ɪlb0e,S/ilb/e
z1ɔn0e,S/onn/e
z1uːx0e,S/uch/e
z2ɛɡm1ɛnt,S/egm/ent
z0ɛz1ɔŋ,S/ais/on
z0ɔld1aːt,S/old/at
z2ʊpst1ants,S/ubst/anz
z2ʏst1eːm,S/yst/em
b1ɔː0ɐt,B/o/ard
d1uː0ɐ,D/u/r
1eː0ɐ,/e/r
h1aːʁ,H/aar
m1eː0ɐ,M/ee/r
1oː0ɐ,/Oh/r
ʁ1oː0ɐ,R/oh/r
ʃp1uː0ɐ,Sp/u/r
ʃv1eː0ɐ,schw/e/r
tʏ1ː0ɐ,T/ü/r
1uː0ɐ,/Uh/r
z1eː0ɐ,s/eh/r
2ɐv1aʁtn,/erw/arten
b1aɛd0e,b/eid/e
b1aɛʃp2iːl,B/eisp/iel
b1ɛs0ɐ,b/ess/er
b1ɛst0e,b/est/e
b0eɡ1an,b/eg/ann
b0eɡ1ɪn,B/eg/inn
b0ek1aːm,b/ek/am
b0eʁ1aɛt,b/er/eit
b0eʁʏ1ːmt,b/er/ühmt
b0etʁ1axtn,b/etr/achten
b0ez1uːx,B/es/uch
bʁ1ɛn0en,br/enn/en
bʁ1uːd0ɐ,Br/ud/er
bʏ2ʁ1oː,B/ür/o
d1eːʁ0en,d/er/en
d2iʁ1ɛkt,d/ir/ekt
dʁ1aɛ0ɛk,Dr/ei/eck
dʁ1ɪt0e,dr/itt/e
f1aːt0ɐ,V/at/er
f1aɛɡ0e,F/eig/e
f1alt0e,F/alt/e
f1ɛː0ɪç,f/äh/ig
f1ɛnst0ɐ,F/enst/er
f1ɪn0ɪʃ,F/in/ish
f1ɪŋ0ɐ,F/ing/er
fɔœ10ɐ,F/eu/er
fʏ1ːʁ0en,f/ühr/en
f2ɐz1uːx,V/ers/uch
f2il1aɛçt,v/iell/eicht
fʁ1aːɡ0e,Fr/ag/e
fʁʏ1ːl0ɪŋ,Fr/ühl/ing
ɡ2əb1ɪs,G/eb/iss
ɡ2əd1ɪçt,G/ed/icht
ɡ2əf1ʊndn,g/ef/unden
ɡ2ən1aɔ,g/en/au
ɡ2ən1uːk,g/en/ug
ɡ2əʁ1ʊx,G/er/uch
ɡ2əʃ1ɛft,G/esch/äft
